"path_3"	"UCS_0001_BAL"	"UCS_0002_BAL"	"UCS_0002_UA"	"UCS_0004_BAL"	"UCS_0005_BAL"	"UCS_0006_BAL"	"UCS_0007_BAL"	"UCS_0007_UA"	"UCS_0009_BAL"	"UCS_0009_UA"	"UCS_0010_BAL"	"UCS_0010_UA"	"UCS_0013_BAL"	"UCS_0013_UA"	"UCS_0014_BAL"	"UCS_0014_UA"	"UCS_0015_BAL"	"UCS_0015_UA"	"UCS_0016_BAL"	"UCS_0016_UA"	"UCS_0017_BAL"	"UCS_0018_BAL"	"UCS_0018_UA"	"UCS_0019_BAL"	"UCS_0020_BAL"	"UCS_0021_BAL"	"UCS_0021_UA"	"UCS_0022_BAL"	"UCS_0022_UA"	"UCS_0023_BAL"	"UCS_0023_UA"	"UCS_0025_BAL"	"UCS_0025_UA"	"UCS_0028_BAL"	"UCS_0028_UA"	"UCS_0029_BAL"	"UCS_0030_BAL"	"UCS_0030_UA"	"UCS_0031_BAL"	"UCS_0032_BAL"	"UCS_0032_UA"	"UCS_0033_BAL"	"UCS_0034_BAL"	"UCS_0035_BAL"	"UCS_0036_BAL"	"UCS_0037_BAL"	"UCS_0038_BAL"	"UCS_0038_UA"	"UCS_0039_BAL"	"UCS_0039_UA"	"UCS_0040_BAL"	"UCS_0040_BKG"	"UCS_0041_BAL"	"UCS_0041_UA"	"UCS_0042_BAL"	"UCS_0042_UA"	"UCS_0043_BAL"	"UCS_0043_UA"	"UCS_0044_BAL"	"UCS_0045_BAL"	"UCS_0046_BAL"	"UCS_0046_UA"	"UCS_0047_BAL"	"UCS_0048_BAL"	"UCS_0048_UA"	"UCS_0049_BAL"	"UCS_0050_BAL"	"UCS_0050_UA"	"UCS_0051_BAL"	"UCS_0051_UA"	"UCS_0052_BAL"	"UCS_0053_BAL"	"UCS_0053_UA"	"UCS_0054_BAL"	"UCS_0054_UA"	"UCS_0055_BAL"	"UCS_0055_UA"	"UCS_0056_BAL"	"UCS_0057_BAL"	"UCS_0057_UA"	"UCS_0058_BAL"	"UCS_0058_UA"	"UCS_0059_BAL"	"UCS_0060_BAL"	"UCS_0060_UA"	"UCS_0061_BAL"	"UCS_0061_UA"	"UCS_0062_BAL"	"UCS_0063_BAL"	"UCS_0063_UA"	"UCS_0064_BAL"	"UCS_0065_BAL"	"UCS_0066_BAL"	"UCS_0069_BAL"	"UCS_0069_BKG"	"UCS_0070_BAL"	"UCS_0070_BKG"	"UCS_0071_BAL"	"UCS_0072_BAL"	"UCS_0073_BAL"	"UCS_0073_UA"	"UCS_0074_BAL"	"UCS_0074_UA"	"UCS_0075_BAL"	"UCS_0076_BAL"	"UCS_0077_BAL"	"UCS_0077_UA"	"UCS_0079_BAL"	"UCS_0079_UA"	"UCS_0080_BAL"	"UCS_0081_BAL"	"UCS_0082_BAL"	"UCS_0083_BAL"	"UCS_0083_UA"	"UCS_0085_BAL"	"UCS_0085_BKG"	"UCS_0087_BAL"	"UCS_0088_BAL"	"UCS_0088_UA"	"UCS_0090_BAL"	"UCS_0093_BAL"	"UCS_0093_UA"	"UCS_0094_BAL"	"UCS_0094_UA"	"UCS_0095_BAL"	"UCS_0096_BAL"	"UCS_0096_UA"	"UCS_0097_BAL"	"UCS_0097_UA"	"UCS_0098_BAL"	"UCS_0099_BAL"	"UCS_0099_UA"	"UCS_0100_BAL"	"UCS_0101_BAL"	"UCS_0101_UA"	"UCS_0103_BAL"	"UCS_0106_BAL"	"UCS_0106_UA"	"UCS_0109_BAL"	"UCS_0114_BAL"	"UCS_0115_BAL"	"UCS_0116_BAL"	"UCS_0118_BAL"	"UCS_0123_BAL"	"UCS_0128_BAL"	"UCS_0130_BAL"	"UCS_0130_UA"	"UCS_0134_UA"	"UCS_0136_BKG"	"UCS_0138_BAL"	"UCS_0144_BAL"	"UCS_0147_BAL"	"UCS_0148_BAL"	"UCS_0148_UA"	"UCS_0151_BAL"	"UCS_0153_BAL"	"UCS_0153_UA"	"UCS_0154_BAL"	"UCS_0154_UA"	"UCS_0156_BAL"	"UCS_0156_UA"	"UCS_0158_BAL"	"UCS_0158_UA"	"UCS_0159_BAL"	"UCS_0159_UA"	"UCS_0160_BAL"	"UCS_0163_BAL"	"UCS_0164_BAL"	"UCS_0164_UA"	"UCS_0167_UA"	"UCS_0168_BAL"	"UCS_0170_BAL"	"UCS_0170_UA"	"UCS_0171_BAL"	"UCS_0172_UA"	"UCS_0174_BAL"	"UCS_0174_UA"	"UCS_0175_BAL"	"UCS_0175_UA"	"UCS_0176_BAL"	"UCS_0177_BAL"	"UCS_0177_UA"	"UCS_0180_BAL"	"UCS_0182_UA"	"UCS_0185_BAL"	"UCS_0185_UA"	"UCS_0190_BAL"	"UCS_0191_BAL"	"UCS_0191_UA"	"UCS_0192_BAL"	"UCS_0192_UA"	"UCS_0194_BAL"
"DNA replication proteins"	854	3321	497452	3496	12447	470916	18823	338491	906	178980	4016	156939	38178	65121	1013	109330	15126	161392	5765	412068	786	34363	419787	202	212	76	127155	683	36958	8482	29355	16279	110536	4598	227679	3913	253393	11840	148	15731	37517	1490	7328	5412	20056	122	15237	71477	1008	364497	1774	34508	4939	309336	3549	242846	3802	167036	1515	685	2227	178479	813	45754	5169920	240	8932	153181	349	1813904	268	298738	124760	23195	203303	238	58201	1628	243	144734	3457	1697966	1570	2381	28609	32056	232843	32250	18254	173627	14237	595	1434	8523	18566	2133	107895	167	404	390	460016	600	457289	34979	3583	7232	2057123	827	945117	917	274	272	879	133765	20841	57378	2155	13014	317504	229	20958	3168715	883	1391861	1557	123966	1753420	2223	236356	320	2792	1661009	871	2348	65800	252	114275	808074	773761	17525	10903	55050	13977	2402	41157	56346	120912	17909807	8118	282435	25391	266	128194	680385	7860	5709	191675	171039	1801977	9484	32471	7366177	4069783	3878	935974	16667	5412	15201	27944	112530	20128	6079	168954	2314	121721	1600929	44668	32452	399998	6950	107943	166600	137137	198140	13175	128562	322	299	52382	1224	173471	3513
"DNA Replication Termination Factors"	99	996	109799	1014	4469	191512	5648	93970	240	62504	777	34056	9536	20822	449	34264	1162	6938	1035	90182	136	11729	143043	41	37	18	31892	106	6675	910	2821	5998	38018	990	80596	1178	29014	2235	32	2289	3838	597	1148	1426	7939	23	969	7535	178	124429	439	12136	645	100218	1339	69034	892	65753	154	122	495	61304	56	3543	634590	82	1178	30410	66	122094	79	25670	10847	9999	26619	49	17889	463	48	39097	795	610046	643	393	12767	9512	70905	2907	4269	67204	2645	403	75	293	2648	449	10114	24	70	77	59652	74	77595	390	41	1873	862465	153	291769	384	57	67	232	24567	1097	1368	773	1006	22522	57	4584	702924	128	853049	473	34354	643022	443	45020	24	594	768464	111	58	18451	54	18619	133798	269736	2130	6244	16359	3455	730	10362	8324	17264	4913838	3238	40210	422	66	5451	148088	1792	1631	50321	44011	763103	4098	8406	1533383	1968736	279	194408	2559	668	6940	8033	28575	738	504	26359	35	34199	264341	10134	2164	63207	1425	11926	22856	1536	50124	1744	34638	54	40	8196	328	53651	557
"DNA Topoisomerases"	0	71	48076	71	317	8181	891	48442	68	10938	266	11103	4491	10764	5	2696	181	699	390	25943	20	2772	20771	19	20	4	4970	26	2752	261	85	803	9804	406	12549	214	7892	1183	2	1408	3507	19	190	122	417	6	778	2137	82	29396	14	160	812	35666	73	6245	459	21847	460	44	36	7762	19	1267	202707	0	445	12551	3	58244	20	9054	2619	1148	5668	6	1535	17	7	15927	339	82428	57	41	1431	1346	14047	5080	1442	7115	705	9	51	60	74	89	1423	7	8	17	30999	6	33119	95	15	1002	379883	50	88927	2	14	6	47	5929	307	464	62	713	8035	10	580	165011	55	58248	4	10046	243913	18	26517	4	87	135972	19	4	4792	9	1352	17146	22152	596	256	2249	129	159	2158	9215	13463	884603	8	34	119	5	134	21314	311	57	12103	9029	85637	792	2046	615252	520751	34	29909	94	79	237	900	4508	47	13	8233	25	3981	184523	1842	282	16337	148	7990	5668	2844	5939	3221	10288	14	17	2052	139	15446	302
"DNA uptake competence system protein"	0	67	1437	14	0	6819	0	0	8	229	52	1058	125	101	2	4	0	130	0	153	0	2	508	0	0	0	800	2	323	10	77	0	0	24	54	37	507	16	0	1362	258	0	24	0	395	0	2	20	2	626	0	0	0	2	6	1463	116	342	0	0	21	636	137	1	455	0	177	478	4	0	4	10413	886	499	471	4	228	0	5	9	0	3	2	88	260	292	1702	3	15	8	1076	0	2	0	113	10	2448	0	0	4	0	0	0	6	0	0	0	4	3	9	0	0	2	0	0	0	0	16	2047	0	18	3	0	0	0	0	0	2	35	0	0	1	5	0	185	0	3777	16591	1483	434	5	0	6	2	5	494	636	134	1	2	320	0	66	4061	4	0	61	400	2480	5	59	3186	1	4	1006	115	0	1	0	547	0	30	1780	0	318	4030	204	536	4194	1	416	561	2	1294	7	61	0	0	2	2	1442	3
"Dol-linked oligosaccharide"	8	452	8318	59	5	12976	6	36	40	2535	361	17130	893	1913	7	1865	235	1768	112	8046	9	11	5222	11	12	5	3088	44	1485	467	1947	273	538	56	5879	256	3541	685	0	1233	480	1	519	148	1152	10	144	1320	4	55132	8	2611	976	77033	268	23965	210	1444	1091	20	117	4635	10	3260	146432	2	429	3122	10	145456	27	11115	2716	1397	3768	4	1776	15	2	1001	3	3	29	241	579	1249	9405	747	1024	4300	637	2	13	202	600	86	8892	10	4	18	71294	73	59561	96	4	4	76	26	12332	67	6	2	61	101	205	856	63	534	7735	27	236	2516	0	693	4	2714	18146	9	861	6	11	1447	15	24	1837	14	7871	72613	5851	1149	1522	74	445	8	670	5089	41580	167865	2	9	93	2	479	38139	26	703	4234	4073	31012	212	1511	708	34	10	20331	769	64	3	6	6850	4	290	16489	4	12968	105895	1755	963	29629	178	2119	6637	6	16362	280	734	7	2	2723	2	3960	667
"Dol-P-Man biosyntheisis"	0	0	0	4	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0
"Domain-containing proteins not elsewhere classified"	61	108	25605	47	336	12430	663	22367	20	8987	62	11661	1869	2546	203	16870	629	2041	112	18491	11	2129	20269	11	19	2	5470	35	3999	440	1709	1554	6571	342	10221	220	4371	465	7	930	2494	49	148	42	1129	9	493	1801	43	23971	85	4931	249	21132	121	11138	969	22425	85	52	134	10060	38	644	85712	15	883	12593	8	42295	18	31167	8410	1528	8759	13	314	59	11	9739	235	102805	49	106	276	2022	13193	1169	1818	12788	626	30	92	86	879	83	1664	17	19	41	37806	19	39831	86	26	919	289245	30	45620	12	1	14	41	5800	385	958	7	443	17940	9	2430	226085	48	76583	84	9573	74764	138	61172	7	105	70776	11	12	3583	18	11258	112210	70280	3475	784	6709	432	569	1253	3396	18203	877119	335	79864	86	15	498	42353	13	919	9807	10002	64261	54	921	638346	483611	260	37073	118	614	3036	8521	11667	49	1768	9042	59813	8339	59263	1890	134	23200	207	4907	4350	93	14885	121	7111	24	11	2990	79	9440	191
"Dopaminergic synapse"	241	533	120049	369	4788	35750	1628	46031	54	23835	1235	63849	9682	17107	135	27881	2474	25904	2154	105530	78	4634	65875	27	53	21	33931	194	16916	2813	16823	9648	39921	1691	54601	1748	57495	17849	19	5016	24100	218	736	1593	3769	21	3119	15414	86	68462	179	9520	3927	55352	886	69439	1008	22035	89	704	219	29314	154	3484	320751	60	2766	38189	34	182311	118	56267	20228	6067	26824	118	11587	302	49	29335	1114	269580	72	5145	19439	3830	55594	11930	1457	17164	2458	26	625	455	2589	296	28245	22	53	103	48775	208	49490	1581	32	377	146560	81	91611	1058	218	38	155	10105	3995	3713	1893	3753	59774	74	5077	534728	180	86848	400	23494	155957	330	43319	103	1856	177931	156	475	23958	206	60986	258450	184555	5556	1978	14455	122205	1485	12236	35323	36085	3812040	3869	95564	4372	180	14658	234768	4356	1102	36359	54916	395864	5980	27274	1659704	222266	325	63054	957	1213	67	3159	21167	668	2492	56698	18	31594	513298	29388	1914	116364	4416	56390	83733	7021	40492	4363	16232	61	75	24809	260	28111	972
"Dorso-ventral axis formation"	4	137	17253	73	12	20508	3	184	51	391	57	36	171	266	12	3	42	430	66	0	20	12	1428	4	4	13	5460	30	778	4	0	6	4	6	1	192	1031	11	4	23	6	11	689	104	1179	8	192	0	9	0	8	0	9	0	146	8403	11	1	3	47	52	1487	39	22	1683	5	3	97	32	31	8	25	0	942	5411	11	4	6	9	19	7	15	67	134	178	884	20377	97	112	182	1519	13	5	193	0	82	4180	17	35	15	0	10	0	535	9	43	34	10	0	173	43	23	19	2	8	3617	23	9	335	10	82	216	23	104	10	6	4	29	172	6	17	374	6	0	1562	11	40	253	3314	260	606	2	14	501	43	0	88	4830	1	15	63	2	2245	17744	5	9	0	2846	10678	10	168	3	4	11	21913	1678	714	11	2	0	4	7	303	2	100	361	262	6	3386	1	2	0	55	5729	9	469	17	12	0	13	4312	53
"dpD-KdpE (potassium transport)"	0	1	445	0	0	983	0	0	4	13	0	0	30	8	0	1	0	18	1	0	0	0	15	0	0	0	530	0	153	0	0	1	0	0	1	38	58	0	0	0	2	0	22	0	191	0	0	0	0	0	0	0	0	0	4	1049	0	0	0	0	0	469	23	0	536	0	0	8	1	0	0	16	3	110	47	0	159	0	0	0	0	10	0	0	4	166	1049	2	0	2	224	0	0	18	54	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	66	0	1	0	2	117	104	0	7	14	0	0	2	165	0	0	0	0	0	75	2	0	0	17	5	0	0	0	0	0	4	0	3	0	0	6	0	0	3448	2	18	0	176	639	0	3	0	0	0	1703	0	0	0	2	0	0	1	4	0	49	0	88	0	922	0	2	0	141	443	0	43	0	0	0	2	279	71
"DPEP"	2	12	1853	4	0	2199	0	25	3	216	0	33	46	376	0	0	3	163	0	0	0	2	582	0	2	0	1289	23	111	0	0	0	0	0	0	45	263	0	0	2	2	0	184	0	393	0	6	0	0	0	0	0	0	0	138	6018	0	0	1	3	4	724	0	6	1235	0	0	193	0	5	0	0	0	374	1217	0	2	2	0	2	1	7	1	7	5	227	1555	2	2	110	256	0	2	0	0	0	0	1	0	0	1	1	0	16	0	2	0	0	0	2	2	0	0	0	2	48	0	0	106	2	10	772	2	12	0	0	0	0	0	0	0	19	6	1	579	8	0	2	9	0	0	0	3	0	4	0	23	1928	208	0	0	6	525	11771	605	0	0	440	3483	0	138	0	0	6	7530	72	18	0	14	0	0	0	306	0	0	2	89	0	2159	0	2	0	0	5282	0	186	0	0	0	0	948	18
"DPPR synthase"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Drug metabolism - cytochrome P450"	14	66	36281	2	1035	34	938	73220	47	16249	45	534	534	1159	30	2467	111	458	151	29676	20	1369	31528	12	9	9	2245	2	139	306	238	1733	4717	270	15491	21	5841	151	3	206	504	23	24	8	4	2	757	1601	0	24084	45	1611	204	14376	24	569	132	10251	8	10	20	6466	11	168	57371	7	23	1413	4	12058	24	942	882	20	1785	11	446	215	7	6240	497	164077	5	96	1913	373	2238	1573	218	4129	7	12	10	2	22343	26	6182	0	21	12	24789	16	20711	58	7	94	100821	23	49347	7	10	21	52	7491	1192	4	228	50	1020	3	1208	300979	123	211493	188	5874	112453	59	17343	4	121	114518	72	20	832	8	1573	5755	51733	481	252	2010	3457	36	1366	634	445	674088	3	10217	36	22	136	97	28	395	10850	1312	82987	413	551	273883	148019	14	19284	75	142	6	1831	2587	19	59	2414	8	1852	468	324	16	2873	1203	66	2562	7379	1	402	15729	8	4	1547	48	4731	16
"Drug metabolism - other enzymes"	683	557	48769	342	1200	64803	1200	52170	787	34984	148	43740	10272	16757	279	4509	1270	10927	1144	83594	78	9087	82655	30	52	18	29314	459	5331	2195	8779	3022	27703	1353	36865	633	30762	2896	21	5088	4997	27	679	828	1848	28	1555	8916	241	56772	266	12618	953	54282	581	41277	2113	53927	173	72	267	25919	48	2372	287220	102	1577	26157	22	75499	204	61559	13503	2199	18305	55	13218	406	34	16275	685	313484	142	1401	13460	4339	27615	6406	1596	8207	5974	95	439	299	3144	256	14342	29	47	129	104866	280	47519	505	64	1979	602612	94	185561	215	44	41	217	11408	1563	5748	419	1873	36284	37	4435	348427	120	142203	306	14670	280764	395	114897	33	243	319123	131	47	14786	62	31723	186654	94433	4335	2677	19714	14947	520	5130	17476	40588	4058350	4209	10938	1750	42	1680	79142	1634	747	28909	40630	415693	1431	6640	2968717	1975609	436	80768	1163	898	3638	6689	37779	259	1606	38726	1954	69061	191909	4725	2271	81192	1247	17903	30985	6073	19421	4226	21382	42	36	6787	84	33994	139
"Drug transporters"	511	324	84653	190	2586	19611	1931	49347	140	21774	364	18509	5693	8071	54	8972	2737	23041	1215	73066	47	8085	44758	32	53	25	11864	128	6932	1239	2780	2236	15663	571	16831	575	58734	2951	52	2172	7793	105	336	607	2024	26	847	9853	70	46683	118	22522	2062	53237	489	37530	681	27932	59	112	186	22320	92	1513	178335	50	1055	13720	88	57207	150	23026	16343	2732	18945	80	3797	281	42	21084	420	184909	231	906	8131	8639	33336	6790	1646	11672	1603	56	177	1529	2865	295	84083	45	139	63	44066	94	31543	1780	62	1001	280056	145	102709	40	255	57	151	13448	10998	2161	1005	1506	46917	59	3130	314441	149	93734	570	15739	188167	190	48027	45	502	183952	983	32	11510	162	17388	93596	105256	2941	652	12776	6206	918	5345	8737	22303	3414888	1394	106784	1520	27	1045	72673	380	807	26448	23562	153523	609	6790	1061735	534846	1196	67468	1051	594	3082	10676	17089	837	738	18234	4154	12671	244583	6828	1403	71840	14145	7131	32401	749	25895	3297	11913	38	56	7173	269	22458	730
"DSBR (double strand breaks repair)"	1158	9760	2374130	2318	45065	329933	91335	2615852	2131	476454	4031	436110	56840	85678	9578	213599	12036	72008	14446	1107185	1622	120668	1853888	493	841	193	254274	1196	88716	21481	69169	100986	538555	12333	576558	7528	179931	20985	319	67438	70995	1861	7675	6689	25545	282	13882	75233	1670	1369279	5096	73303	11530	1040423	4518	310936	18535	496899	4087	2808	4710	808051	1979	45060	5250937	1415	17357	387746	402	3253614	1986	474311	160874	28729	336198	546	65952	4006	1612	677993	27551	13283687	1737	6613	113262	36048	412089	62340	52602	238746	18199	1298	2177	10687	26285	3180	128534	341	842	1071	1634526	1306	1358368	31071	2328	26661	6653862	4062	3166226	974	813	630	2453	739245	29977	32270	4181	10154	337124	617	90651	15376998	2029	2798822	3306	610828	11055618	6644	1335500	408	8906	5695602	1308	3057	124798	633	273615	1677037	4487470	60127	18723	188588	56988	14025	76534	112951	489615	39441195	18643	1177076	22416	377	24944	761042	9290	24752	423279	368274	4162269	19133	62198	26238349	14787945	11887	1676612	13991	9182	137478	147002	320861	9106	16492	294206	4004	417977	1588208	67123	32890	731336	13395	225491	303910	130610	227267	24731	604026	892	624	159951	3581	662778	7241
"DYRK family"	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	188	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"E3131, phoA, phoB"	0	0	0	0	0	0	0	0	24	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	106	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	16	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"E321101"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	145	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECM-receptor interaction"	1	10	19	0	0	9	1	43	2	25	0	695	0	0	0	283	1	9	64	1320	0	0	32	0	7	0	5	0	7	309	1578	0	0	30	864	0	72	50	0	67	33	0	0	0	0	0	0	21	1	62	0	0	0	17	0	8	12	16	0	2	0	0	0	10	519	0	5	69	0	49	0	1274	147	0	93	0	1170	3	0	600	10	755	0	1	296	2	47	4	16	887	0	46	0	1	180	2	1	0	0	6	55	0	2	7	2	0	56	0	169	0	0	0	14	0	2	0	0	71	187	0	0	828	0	62	0	21	164	2	37	0	0	53	35	1	166	0	304	3833	314	0	2	11	1	0	2	89	162	995	0	0	8	0	0	5288	0	0	50	1	454	0	450	8	90	3	6	0	15	0	0	872	0	383	5520	0	2458	1026	69	0	374	7	0	49	29	0	153	10	0	0	0	0	11	0
"EDEM1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"EDEM2"	0	1	69	3	0	5997	0	0	0	151	16	10	83	5	0	0	0	61	0	0	0	0	258	0	0	2	417	0	0	0	2	0	0	0	0	77	0	0	0	0	3	0	54	0	328	0	0	0	0	0	0	0	0	0	3	1857	0	1	0	0	0	673	0	0	122	0	0	3	0	0	0	0	0	99	1541	0	0	0	0	0	0	0	5	0	0	8	142	2	0	0	106	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	225	0	0	0	9	0	2	0	0	0	0	0	0	115	0	0	0	0	0	4397	0	0	0	379	1026	0	19	0	0	0	1651	155	0	0	0	0	0	0	131	4	0	0	39	1	351	0	0	2	0	1094	0	4	0	0	0	0	530	0
"EGFR tyrosine kinase inhibitor resistance"	26	193	31446	137	309	23792	234	9431	75	3732	68	460	756	1107	12	57	66	748	78	7221	53	196	9607	6	10	13	8197	36	890	42	0	162	5092	131	5707	213	3448	453	4	136	132	13	1143	170	1235	12	261	273	11	2591	9	4638	34	1755	174	9584	35	686	6	55	64	4719	44	48	16262	14	10	694	35	3962	14	1645	179	1140	6112	20	112	93	20	2060	57	26290	67	140	417	1236	24134	296	506	997	1680	14	31	199	563	92	9922	19	39	15	3123	22	5205	655	12	57	6019	18	30053	175	50	23	27	961	106	4656	46	38	1149	16	211	129012	35	25073	10	1422	30049	39	4038	8	53	44276	21	17	1909	19	649	3860	41164	274	674	1993	369	520	528	99	603	145543	654	3462	73	12	2585	19810	12	172	2769	6799	34144	11	694	23812	26808	15	27770	2268	896	24	248	1192	8	14	1032	2	1252	855	494	49	5016	68	1751	2479	8443	7082	296	2941	19	31	1981	13	7691	72
"EGLC"	0	7	4034	4	23	35	172	7934	1	2559	3	165	382	985	39	88	60	251	25	15551	1	209	6732	0	0	0	85	0	107	4	10	175	4448	61	5054	4	85	5	0	131	203	87	2	3	2	2	2	122	0	10725	2	6	24	9679	2	88	72	1293	2	4	2	2515	2	44	30289	0	132	11741	0	7162	11	1754	6743	2	305	3	0	26	10	2076	27	37693	1	8	49	2	732	12	123	1028	2	2	0	10	85	16	909	0	0	2	7206	0	3418	23	2	17	36650	15	12725	2	6	4	14	3128	2	336	2	2	324	6	961	46723	4	14327	2	719	38449	53	6519	0	18	58642	6	5	144	9	57	3155	5017	58	33	2829	44	0	252	58	1176	115722	562	7152	28	13	45	0	15	27	1942	796	15751	1	187	61107	41867	0	3796	167	23	4	13	1268	0	0	1686	0	425	156	60	0	852	2	527	833	10	1	0	1939	3	0	286	10	1645	46
"EH (EPS15 homology) domain-containing proteins"	33	9	10897	0	274	4	534	13343	12	6807	13	7996	1539	1592	129	10394	601	1496	70	14531	5	2125	14168	5	10	2	2478	3	1825	293	1694	999	4610	327	8269	8	781	137	3	904	2102	47	24	31	4	6	462	1612	29	21967	54	23	190	17760	15	208	953	22281	82	34	11	5153	7	596	60993	7	809	11342	0	33540	11	28354	7479	17	1573	9	62	49	3	5773	203	74508	12	48	166	42	1301	453	971	4659	6	7	82	63	2	48	29	14	11	38	34855	17	36916	45	6	916	288495	24	33168	0	1	8	38	3918	122	5	5	377	16893	3	1760	183475	17	66025	19	6366	57585	131	60004	0	42	51013	5	11	1629	1	11144	110400	49465	3184	3	6624	410	160	991	3115	17536	858251	135	76292	10	0	7	7814	5	483	8023	4784	33357	0	625	632659	480731	242	12236	70	4	3026	8286	11329	21	1765	7590	5	7762	32116	748	131	12053	19	4509	3822	10	5	53	5034	18	7	1140	61	4778	161
