taxonomy	UCS_0001_BAL	UCS_0002_BAL	UCS_0002_UA	UCS_0004_BAL	UCS_0005_BAL	UCS_0006_BAL	UCS_0007_BAL	UCS_0007_UA	UCS_0009_BAL	UCS_0009_UA	UCS_0010_BAL	UCS_0010_UA	UCS_0013_BAL	UCS_0013_UA	UCS_0014_BAL	UCS_0014_UA	UCS_0015_BAL	UCS_0015_UA	UCS_0016_BAL	UCS_0016_UA	UCS_0017_BAL	UCS_0018_BAL	UCS_0018_UA	UCS_0019_BAL	UCS_0020_BAL	UCS_0021_BAL	UCS_0021_UA	UCS_0022_BAL	UCS_0022_UA	UCS_0023_BAL	UCS_0023_UA	UCS_0025_BAL	UCS_0025_UA	UCS_0028_BAL	UCS_0028_UA	UCS_0029_BAL	UCS_0030_BAL	UCS_0030_UA	UCS_0031_BAL	UCS_0032_BAL	UCS_0032_UA	UCS_0033_BAL	UCS_0034_BAL	UCS_0035_BAL	UCS_0036_BAL	UCS_0037_BAL	UCS_0038_BAL	UCS_0038_UA	UCS_0039_BAL	UCS_0039_UA	UCS_0040_BAL	UCS_0040_BKG	UCS_0041_BAL	UCS_0041_UA	UCS_0042_BAL	UCS_0042_UA	UCS_0043_BAL	UCS_0043_UA	UCS_0044_BAL	UCS_0046_BAL	UCS_0046_UA	UCS_0047_BAL	UCS_0048_BAL	UCS_0048_UA	UCS_0049_BAL	UCS_0050_BAL	UCS_0050_UA	UCS_0051_BAL	UCS_0051_UA	UCS_0053_BAL	UCS_0053_UA	UCS_0054_BAL	UCS_0054_UA	UCS_0055_BAL	UCS_0055_UA	UCS_0056_BAL	UCS_0057_BAL	UCS_0057_UA	UCS_0058_BAL	UCS_0058_UA	UCS_0059_BAL	UCS_0060_BAL	UCS_0060_UA	UCS_0061_BAL	UCS_0061_UA	UCS_0062_BAL	UCS_0063_BAL	UCS_0063_UA	UCS_0064_BAL	UCS_0065_BAL	UCS_0066_BAL	UCS_0069_BAL	UCS_0069_BKG	UCS_0070_BAL	UCS_0070_BKG	UCS_0071_BAL	UCS_0072_BAL	UCS_0073_BAL	UCS_0073_UA	UCS_0074_BAL	UCS_0074_UA	UCS_0075_BAL	UCS_0076_BAL	UCS_0077_BAL	UCS_0077_UA	UCS_0079_BAL	UCS_0079_UA	UCS_0080_BAL	UCS_0081_BAL	UCS_0082_BAL	UCS_0083_BAL	UCS_0083_UA	UCS_0085_BAL	UCS_0085_BKG	UCS_0087_BAL	UCS_0088_BAL	UCS_0088_UA	UCS_0090_BAL	UCS_0093_BAL	UCS_0093_UA	UCS_0094_BAL	UCS_0094_UA	UCS_0095_BAL	UCS_0096_BAL	UCS_0096_UA	UCS_0097_BAL	UCS_0097_UA	UCS_0098_BAL	UCS_0099_BAL	UCS_0099_UA	UCS_0100_BAL	UCS_0101_BAL	UCS_0101_UA	UCS_0103_BAL	UCS_0106_BAL	UCS_0106_UA	UCS_0109_BAL	UCS_0114_BAL	UCS_0115_BAL	UCS_0116_BAL	UCS_0118_BAL	UCS_0123_BAL	UCS_0128_BAL	UCS_0130_BAL	UCS_0130_UA	UCS_0134_UA	UCS_0136_BKG	UCS_0138_BAL	UCS_0144_BAL	UCS_0147_BAL	UCS_0148_BAL	UCS_0148_UA	UCS_0151_BAL	UCS_0153_BAL	UCS_0153_UA	UCS_0154_BAL	UCS_0154_UA	UCS_0156_BAL	UCS_0156_UA	UCS_0158_BAL	UCS_0158_UA	UCS_0159_BAL	UCS_0159_UA	UCS_0160_BAL	UCS_0163_BAL	UCS_0164_BAL	UCS_0164_UA	UCS_0167_UA	UCS_0168_BAL	UCS_0172_UA	UCS_0174_BAL	UCS_0174_UA	UCS_0175_BAL	UCS_0175_UA	UCS_0176_BAL	UCS_0177_BAL	UCS_0177_UA	UCS_0180_BAL	UCS_0182_UA	UCS_0185_BAL	UCS_0185_UA	UCS_0190_BAL	UCS_0191_BAL	UCS_0191_UA	UCS_0192_BAL	UCS_0192_UA	UCS_0194_BAL
Cadmium_resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phenicol	39.999	14	0	60	32	13	9	3.999	206.004	87	22	385	46	23	9	9.001	15	4	46	2	6	59	325	3.999	0	4	344.001	7	9.001	6	0	3	30	1	137	1	10.999	1	2.001	5.001	10.998	33	0	38	7	4	20	21	3	50	3	21564.001	1.999	1	4	1	5	252	3	5.999	5.001	15.999	19	9	15	4	0	12	5	5	4	18	95	15.999	6	4	18	3762	4	6	1	4	5	1	1	432	1.002	0	3	35	9.001	46	2382	7	2743.001	1.002	17	1.999	1	0	1	18.001	5.999	16.999	626	9.999	17381.001	3	3	4	3	9.999	4.999	126.999	4.999	9.999	0	8	4.998	17	3	3	5	3.999	2.002	19	25	1.001	193	13851.999	18	24	8	30.001	47	524.793	13	413	78	454	3.999	16	31	6	5	2065	784	200	307	9.999	949	5.001	6	384.999	0	27	80	191	62	1086	736	37	4	18.999	44	24.999	76	176.001	306	6	15	0	43	25	37	109	155.002	593.001	42.999	244.001	3	4	22	4371	3	58	7
Lipopeptides	59.857	84.182	8009	5	2836.898	6	1697.121	10161.041	54.807	24970.1	76.333	1906.001	4560.148	12991.457	52	195.3	1154.79	384.209	181.319	5788.627	80.715	50134.388	10823	37.6	23	16.5	1557.575	8	301.216	139	36	899.813	3940	613.495	7866.06	45	37.667	5	24.448	8737.224	12561.306	101.5	108.385	80.7	35	5.75	68	1013.932	12	16441.097	63	77.75	345	23560.882	71.374	781.872	1153.32	115794.946	156	158.737	15382.199	32.667	633.467	23010.818	27	163	4438	9	8643.427	1376.475	3439.406	46.534	1792.282	42	70.885	105	13.667	7851.201	418	28690.585	34.079	52.75	160.286	83	1528.074	2559.589	927.951	3010	21.015	49	35	40	8	95.25	5759.5	9	22.24	405.077	37222.122	63	29201.62	110.279	46.771	2303.302	163260.58	103	41416.227	2.111	32.833	25	85	9537.95	201.279	34.143	36.6	25	689.262	11	2459.067	43365.255	34	51444.31	105	2994.227	36343.396	146.316	12192.141	11.333	127.4	80012.91	6	14	1335.524	10	297	1713.471	12232.474	1143.331	8.5	17142.81	3	182	886.726	1353.667	18024.222	729674.658	22	2282.523	144.4	10	2.375	256.679	8.571	150	11258.414	2727.523	12016.091	51.8	288	90852.933	146157.798	67	13360.201	16.4	18	33.369	4398.575	73573.837	106.301	2360	218.273	908	67.501	6659.422	15	347.4	2046.77	289.585	2	27	10980.232	57.143	25	3251	60.333	20729.836	340.667
Biguanide_resistance	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Chromium_resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	783	0	0	0	0	0	0	0	1	0
MLS	762.999	414.997	25719	8	5259.999	14.001	15412.5	67562.001	52.999	22811.999	151.001	6472	3138.998	2353	196.002	278.001	377	6762.999	637	28588.017	88	2513.003	8396	30.999	66	13.999	4214.999	15.998	618.997	1445.002	2676.002	1634.001	5930.001	1924	19232.001	68	1809	589.999	15.998	2876.999	3934.23	44	101.001	649	20	8.998	975.001	4036	108.998	23197.003	71.999	90	1378	45628.678	357	1395	449	2980	305	68	11299	35	6400.885	80915.164	16.999	685	6832	22.998	101481.352	10838.997	7572.001	70.001	7403.998	18	827.998	268	135.999	33627.581	210	18867	42.999	325.999	4024.999	204	2340.001	1481.501	3212	4053.002	22.999	33.001	68.001	324	12.998	231.999	47.5	14.997	31.002	81.998	69153.502	126.999	25419.021	177	34.002	530.999	52190	275	74188.497	4.5	18	39.999	102.998	23461.001	1769.001	4	13	569.999	12731	26.998	9740.998	192005.322	174	50679.73	39.001	78966.566	61210.534	1413	54557.001	19.002	1376	28195.627	10.998	21.003	5285.002	8	27006.999	159920.001	95872.788	5453.001	113.999	43361.002	700.999	1712.998	10811	7015.971	54613.199	35925.165	7.998	43972.999	522	5.999	3.999	4726.999	74.001	1075	9315	11337.003	39825.119	3325.998	1438	123833.002	39886.165	2946	42864.762	569.999	9.999	22.998	9152.998	12055	749.999	9086.003	9929	2983	1927	10152.002	82	11930.999	6769.999	7140.999	30.998	4209	29001.678	57	44	14049	4.002	90	127
Sodium_resistance	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	2	0	0	0	8	0	0	0	0	1	0	14	110	5	0	0	0	0	0	2	7	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	5	167	0	4	0	0	0	1	5	0	0	0	0	0	1	0	1	0	9	0	0	1	0	0	0	0	0	21	0	0	0	0	0	0	16	75	7	0	0	0	0	0	0	0	0	0	0	357	0	0	0	0	0	0	0	0	0
Cobalt_resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fluoroquinolones	52	349.994	10141.57	4	3102	7	1505.5	21815	31.301	10137.854	93.639	1738.426	2094.437	4151.316	149.06	104.498	340.111	305.831	251.001	9413.858	69	5834.656	19879.998	16.999	11.064	1	312	7.999	93.001	510	3273.001	1214.071	8347.431	185.001	8269.06	53	7371.185	430.5	20.999	1554.933	1913.902	39.502	84.001	31.749	11.005	5	125.999	1060.002	46	21769.61	24.999	52.497	352	29657.385	83	584.057	381.352	24395.678	320.611	18.999	15015.141	12.001	574.001	39724.123	5	12	35.044	3	17711.598	905.198	548	23.003	6063.092	24.999	119.002	20	7	10647.421	394.143	46839.001	16	39.167	237.355	187	2284.401	858.5	556.143	3114.028	19.001	25	32.999	747	29	31	33.001	7	25.998	32.2	36226.824	57	28818.929	83.21	15.998	551.022	51865.697	55	55174.199	2	28.085	10.096	137.001	8361.146	903.461	59	82	79.003	861.052	12.002	2880.765	89800.399	160.001	38747.904	97	5281.145	40001.373	33.075	1086	3.114	146	57543.322	87.501	9	1089	1	186	2052.999	15454.669	1002	1058.999	7391.255	8	56.001	1024	848.185	9979.91	97060.713	45.999	4233.998	19.065	5	59	1272	16	239	6431.383	869.499	10662.001	52	107	38739.511	67797.66	29	7807.502	14	21.001	6030	10833.691	6135.443	38.499	3083.998	229.064	545.001	28.998	4103.275	1084.002	466.055	1509.145	820.64	3	77	7847.83	15.001	13.287	3268.062	56.5	11778.5	224.5
Trimethoprim	1	13	3139	1	2299	1	416	5253.511	5	3755	12	23	19	40	53	9	6	1	54	1510	29	3	2612	3	9	0	279	1	13	34	1	323	1106	21	2361	5	8	1	5	8	6	47	54	10	5	1	9	36	1	1320	76	14	79	5817	11	68	3	8	10	4	1459	6	761	19098	1	2	3	3	11155	24	17	8	1288	21	90	96	7	8200.383	413	38626	5	4	4	1	246	5	535	1103	4	5	3	23	0	9	4	2	4	1	1980	0	2248	9	7	4	87	73	27545	7	4	2	24	1171	64	0	0	1	92	1	1834	25608	59	28127	3	6242	21514	65	4868	1	285	29190.779	107.936	2	189	0	31	107	5117	223	0	31	0	0	302	134	356	85	0	201	49	1	0	13	1	229	4854	1363	8447.596	3	17	290	445	57	1366	1	1	1	1569	43	2	163	21	44	12	136	5	204	356	6	1	3	1308	5	4	4435	28	1332	42
Mycobacterium_tuberculosis-specific_Drug	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	14	0	37	0	0	0	0	0	0	1	0	27	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Quaternary_Ammonium_Compounds_(QACs)_resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phenolic_compound_resistance	1	0	1	0	0	0	0	0	0	1105	47	6	2	0	0	1	0	2	12	4	0	0	40	0	0	0	6	0	1	0	29	0	0	21	760	1	6323	78	0	0	3	0	1	0	0	0	1	29	0	0	3	1	1	0	0	0	118	1271	0	41	1913	0	7	303	0	0	0	0	0	44	14	0	0	0	0	0	0	25	1	1	9	2	0	399	1005	6	0	0	1	1	0	0	28	2	2	0	24	0	8	0	0	3	0	0	3	1	1	0	1	0	3	0	1	67	0	0	8	0	2	0	0	0	0	69	186	19	2875	0	0	1	109	1	222	0	6	157	1	84	0	0	1	0	0	11	4	0	0	0	0	0	0	0	0	0	0	1	9	1	2	3	19	1	0	0	4	0	9	8	0	9	0	0	0	19	0	0	1	1621	0	0	9	0	0	0	0	1	0
Elfamycins	96	1252	101603	11	12331.001	23	7336	147432	106	80023.779	1648	2589	5950.586	16576.204	597	801	1105.999	1336.59	1179	39527.755	194	20263.757	58935.809	56	81	24	7554.858	59	992.001	976	864	8862	26227	5939.001	37944	167	56730.999	2055.001	49	5107.457	7653.416	327	328	221.001	68	49	1012.001	6047	92	49255	267	1595	1596	82489.888	132	4059	1177.999	78956.309	536	313	75374	64	6971	178544.581	139.001	647	14341.352	40	137708.001	7084	11289.222	122.999	11980	70	587.001	380	103	49640.797	2759	186086.84	72	756.999	3985.999	1529.001	11131	3595	7973.001	24877	60.001	65.001	147	392	27	555	3942	45.999	188	181	65855	122.001	75875	325.001	59	2751.737	222899.836	357.999	96555.524	13	166	49.999	252.999	32024	18180	345	1116.999	194	3346	33.001	9243	219464.785	445	87087	604	32516	115906.484	1602.999	163352.339	21.999	1630.999	220774.188	632	139	14341.001	18.001	1290	6153.998	84316.361	5624.999	309	20499.454	334.001	2067	5929.001	1844	9024.999	292142.177	2602.001	56659	287.999	17	19	767	34	1452	53731	11879.919	63271	2191	1056	111663.937	164406.887	2467	69872.845	781	27	48.999	4714.999	27891.221	177.001	9317.999	1495	3149	211.999	11382.949	3302	4244	7350.001	11374.999	17.999	555	49309	73	40	19753.931	718	97766	418.001
Sulfonamides	0	0	0	0	5	0	16	0	0	2	2.002	9	101	60	0	0	6	9	1.002	37	2	388	245	1	0	0	0	0	0	39	304	0	2	18	88	1	1191	92	0	68	83	0	0	1.001	1.001	0	1.002	26	0	262	0	788	0	282	0	0	15	582.001	1	0	0	0	0	2	1	0	0	0	0	24	27	1	0	0	0	0	0	0	0	0	0	0	0	12	115	9.002	0	0	0	2.002	1	0	42	1	0	1	1	3	498	0	423	0	0	3	2801	1	2	0	1	0	7.778	0	1.002	0	16	1	32	2	1	0	0	0	22.001	0	0	1	0	0	0	0	10	0	1.001	2.009	37	235.001	0	10	0	273	0	0	44	37	393	7619	1	2	8	0	0	18.002	0	0	13	0	1	0	37	904	1445	0	0	0	0	0	0	230	2	333	1	1	0	45	44	0	12	353	0	0	0	1.002	0	0	0	0	6
Fusidic_acid	347	286	36712	4	2355	6	1981	40838	54	44694.221	40	817	4316.414	20863.796	45	365	1497	1359.411	713	25414.244	92	27036.243	27966.192	32	43	10	1865.142	26	672	159	41	2806	13333	947	17265	90	47	11	19	4453.544	7025.354	166	180	38	21	15	82	2475	9	21087	59	115	1103	42071	83	1509	791	95837.692	66	155	34975	34	972	56396.52	127	202	11277.648	10	27066	2994	11647.778	48	5157	32	77	90	40	27702.203	877	76487.158	44	29	9	21	1662	1187	2260	8456	34	33	22	44	10	145	29	8	44	233	20086	38	33142	147	40	2672.263	215374.601	122	47961	4	28	39	87	11324	408	10	9	74	1031	20	4181	123929.626	178	48965	185	8470	54716.184	408	38489.495	17	337	135570.812	85	22	6934	13	329	2373	33467	1789	48	25088.546	102	575	1826	6	57	401383.899	258	4320	29	5	5	67	3	128	23501	2497.081	36204	165	472	53662.373	163706.075	141	25544.155	116	19	16	2639	40350.779	88	3093	264	1697	26	11825.051	11	1376	3525	196	6	167	23818	37	22	2721.068	245	58933	118
Gold_resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminocoumarins	3	10.006	15.426	0	3.002	2	10.5	25	22.699	25.142	47.362	171.573	1729.563	3562.683	2.941	12.5	144.888	84.166	4	45.142	12	4602.342	355	6.998	6.939	4	11	2	2	3	160	6.927	20.574	6	202.942	1.999	2229.816	170.5	2	1118.066	1270.099	5.5	8.998	7.249	4	2	10	74	1	2729.387	3	15.499	7	2214.196	12	7.946	281.646	18994.345	37.389	9.001	12.858	4	532	5843.877	2	0	13.958	2	10960.404	78.799	72	5	8.906	4.999	4	0	0	10.665	0.858	37	29	26.833	67.645	155	467.6	554.5	33.858	270.972	4	5	4.999	7	12	4	585.999	2	4.001	7.8	3833.172	5	5244.074	17.792	5	1178.979	80373.366	4.001	74	1	6.915	3.903	10	121.858	99.539	1	18	1	29.947	4	12.237	15.6	3	27.098	7	17.858	287.665	12.925	244	0.887	8.999	34	40.5	117.002	17.999	0	10	86	28.335	137	2	3763.746	0	0	74	306.815	1835.09	50504.412	68	168.998	12.936	9	1	118	0	7	154.618	37.5	63	28	0	32084.488	68608.628	2	37.5	0	480	1	25.307	1712.558	34.498	164	4.934	1	4.999	1583.725	203	3.951	87.858	13.358	3	6	17.165	6.998	1.716	1.937	2.5	11.5	52.5
Nickel_resistance	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	5	9	0	0	0	6	299	0	0	2	0	3	3	78	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	3	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	206	12	0	1	0	46.001	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	1	0	53	0	0	0	0	0	0	0	0	0
Peroxide_resistance	0	9	1	0	32	13	2	3	10	0	15	5	332	216	2	0	111	39	2	0	8	582	62	4	1	0	15	0	1	0	1	0	1	2	2	0	213	10	0	295	319	1	2	0	0	0	0	0	0	0	1	5	0	2	3	1	352	3056	0	2	0	1	0	39	1	0	0	0	1	3	0	5	2	4	0	0	0	2	0	5	2	4	0	77	207	251	1	0	0	1	0	0	89	2	0	0	3	1	7	0	2	10	1	202	6383	1	1	0	0	11	0	0	3	1	36	0	1	0	0	1	2	0	3	0	4	2	603	0	2	0	5	0	46	0	0	2	0	4	47	1820	0	8	2	2	0	6164.079	0	932	4	0	0	1	2	10	2	45	2	0	0	14819	17513.401	0	75	144	0	1	0	328	0	4	0	0	699	120	0	5	0	75	0	27	14	0	0	0	0	0	2
Acetate_resistance	0	0	0	0	0	0	0	0	0	0	9	0	1	0	9	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3348	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	129	346	1	0	0	0	0	0	0	131	1	0	0	0	0	4	0	0	0	0	0	2	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	22	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	100	639	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	4	0	0	0	4	0	0	7	0	459	0	0	0	0	0	0	0	0	0
Mupirocin	91	27	173	1	2697	6	5095	57935	34	195	41	72	350	480	372	419	64	38	33	2461	89	1832	20817	20	37	3	3419	6	202	280	4	28	149	521	3645	26	43	1	17	499	336	44	207	59	15	10	44	217	3	94	166	86	384	11949	109	1464	146	7079	9	150	25654	17	1680	91720.495	1	3	16	7	18996	203	139	51	110	26	29	323	48	17213	2544	221383.242	27	27	2	4	57	91	3221	8289	18	19	13	1	3	176	10	3	17	13	122	12	10475	74	26	117	19827.209	256	39489.096	1	17	27	10	49087	1152	0	1	114	2596	16	7978	165745.58	251	100243.642	39	22059	104823.349	337	64606.104	10	425	82707.504	1	12	933	5	350	1591	26190.09	1151	7	1979	1	299	109	2	1	14561.106	9	6004	98	4	4	68	2	9	104	5561	44953.404	273	179	112286	169846.559	225	36585.193	22	4	22	7643	2400	29	20	466	760	34	360	8	1551	2254	541	3	1716	42072.321	22	51	7801	3	348	121
Mercury_resistance	0	1	2	0	0	2	0	0	4	0	2	4	2	0	0	0	0	7	26	6	0	0	0	0	0	0	0	0	0	0	14	0	0	11	713	0	0	0	0	0	0	0	0	2	1	1	4	2	0	0	0	0	0	0	1	1	2	0	0	0	829	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	9	0	0	0	0	0	0	5	0	488	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	8	0	0	0	1	0	0	111	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	894	0	4	0	0	1	3	1	2	0	0	8	0	0	0	1	0	0	0	0	0	0	4	1	0	0	0	0	0	0	129	0	0	0	0	0	0	1	0	0	0
Metronidazole	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraquat_resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thiopeptides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
